 Opened files,timestep=        5000
 Opened files,timestep=        5100
 Opened files,timestep=        5200
 Opened files,timestep=        5300
 Opened files,timestep=        5400
 Opened files,timestep=        5500
 Opened files,timestep=        5600
 Opened files,timestep=        5700
 Opened files,timestep=        5800
 Opened files,timestep=        5900
 Opened files,timestep=        6000
 Opened files,timestep=        6100
 Opened files,timestep=        6200
 Opened files,timestep=        6300
 Opened files,timestep=        6400
 Opened files,timestep=        6500
 Opened files,timestep=        6600
 Opened files,timestep=        6700
 Opened files,timestep=        6800
 Opened files,timestep=        6900
 Opened files,timestep=        7000
 Opened files,timestep=        7100
 Opened files,timestep=        7200
 Opened files,timestep=        7300
 Opened files,timestep=        7400
 Opened files,timestep=        7500
 Opened files,timestep=        7600
 Opened files,timestep=        7700
 Opened files,timestep=        7800
 Opened files,timestep=        7900
 Opened files,timestep=        8000
 Opened files,timestep=        8100
 Opened files,timestep=        8200
 Opened files,timestep=        8300
 Opened files,timestep=        8400
 Opened files,timestep=        8500
 Opened files,timestep=        8600
 Opened files,timestep=        8700
 Opened files,timestep=        8800
 Opened files,timestep=        8900
 Opened files,timestep=        9000
 Opened files,timestep=        9100
 Opened files,timestep=        9200
 Opened files,timestep=        9300
 Opened files,timestep=        9400
 Opened files,timestep=        9500
 Opened files,timestep=        9600
 Opened files,timestep=        9700
 Opened files,timestep=        9800
 Opened files,timestep=        9900
 Opened files,timestep=       10000
 Opened files,timestep=       10100
 Opened files,timestep=       10200
 Opened files,timestep=       10300
 Opened files,timestep=       10400
 Opened files,timestep=       10500
 Opened files,timestep=       10600
 Opened files,timestep=       10700
 Opened files,timestep=       10800
 Opened files,timestep=       10900
 Opened files,timestep=       11000
 Opened files,timestep=       11100
 Opened files,timestep=       11200
 Opened files,timestep=       11300
 Opened files,timestep=       11400
 Opened files,timestep=       11500
 Opened files,timestep=       11600
 Opened files,timestep=       11700
 Opened files,timestep=       11800
 Opened files,timestep=       11900
 Opened files,timestep=       12000
 Opened files,timestep=       12100
 Opened files,timestep=       12200
 Opened files,timestep=       12300
 Opened files,timestep=       12400
 Opened files,timestep=       12500
 Opened files,timestep=       12600
 Opened files,timestep=       12700
 Opened files,timestep=       12800
 Opened files,timestep=       12900
 Opened files,timestep=       13000
 Opened files,timestep=       13100
 Opened files,timestep=       13200
 Opened files,timestep=       13300
 Opened files,timestep=       13400
 Opened files,timestep=       13500
 Opened files,timestep=       13600
 Opened files,timestep=       13700
 Opened files,timestep=       13800
 Opened files,timestep=       13900
 Opened files,timestep=       14000
 Opened files,timestep=       14100
 Opened files,timestep=       14200
 Opened files,timestep=       14300
 Opened files,timestep=       14400
 Opened files,timestep=       14500
 Opened files,timestep=       14600
 Opened files,timestep=       14700
 Opened files,timestep=       14800
 Opened files,timestep=       14900
